,alpha,dm_algo,random_neighbours
0,1.0,0.022870689796025245,0.013998143149883924
1,10.0,0.03374243760134179,0.01887215298647808
2,100.0,0.10216956310482488,0.058894008926363206
3,1000.0,0.1852113938574385,0.10061313686313686
4,10000.0,0.23357014102981846,0.12388813730043155
